Train_Error,Val_Error
0.0005995280839455714,0.0005889950286992074
0.00033329800309368085,0.0003300624630478523
0.00026515268019116164,0.0002652834577918072
0.00023834009939664873,0.00023998822768153802
0.00022312156782908313,0.00022542449590100426
0.00021274021458796274,0.00021530157827706988
0.00020506132600231806,0.00020769637664832562
0.0001991126383361265,0.0002017318251977798
0.00019433982097288185,0.00019689744492014616
0.0001903952555830165,0.0001928669372801357
0.00018705208967470424,0.00018942466647615844
0.0001841588120745885,0.00018642557926962434
0.00018161217765475242,0.00018377046665440984
0.0001793403167416208,0.00018139013629734328
0.0001772920046754928,0.00017923519892586984
0.0001754297797760402,0.00017726946187489892
0.00017372549718302243,0.00017546564614089415
0.00017215743471797878,0.0001738025987416163
0.00017070839217797485,0.00017226346681831992
0.00016936442927769583,0.00017083449071429458
0.00016811401618752332,0.00016950419630126025
0.00016694745225632757,0.00016826284584215838
0.0001658564604088838,0.0001671020572730101
0.00016483389776098076,0.00016601453412048861
0.00016387354407939808,0.0001649938689162956
0.00016296994318732659,0.0001640343961483768
0.00016211828104466952,0.00016313107920706496
0.0001613142897746056,0.00016227942116861136
0.00016055417048045222,0.00016147539271034963
0.00015983453001132284,0.00016071537267204957
